epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,46.0848,0.57766,0.57701,0.96094,0.98818,0.91918,0.96821,0.85392,0.44265,0.47095,0.84529,0.00144696,0.00144696,0.00144696
22,48.1589,0.56672,0.54309,0.94493,0.97429,0.93536,0.9625,0.85355,0.46005,0.48931,0.85035,0.00143595,0.00143595,0.00143595
23,50.539,0.58047,0.54148,0.93355,0.98282,0.93567,0.96957,0.85687,0.45197,0.47681,0.84903,0.00142495,0.00142495,0.00142495
24,52.7823,0.54732,0.52864,0.92755,0.96207,0.93604,0.97223,0.86095,0.46061,0.50148,0.86316,0.00141395,0.00141395,0.00141395
25,54.9747,0.54496,0.49006,0.92943,0.96781,0.93846,0.96903,0.86382,0.42845,0.43455,0.83735,0.00140295,0.00140295,0.00140295
26,57.1687,0.53719,0.50842,0.9315,0.97481,0.93357,0.96751,0.85584,0.44629,0.46462,0.84645,0.00139195,0.00139195,0.00139195
27,59.1975,0.55446,0.50189,0.93983,0.94343,0.96167,0.97744,0.84668,0.46421,0.48489,0.85299,0.00138094,0.00138094,0.00138094
28,61.198,0.56798,0.50855,0.94632,0.96653,0.94235,0.97555,0.85999,0.42893,0.45407,0.83971,0.00136994,0.00136994,0.00136994
29,63.2053,0.53164,0.48982,0.92587,0.93743,0.93765,0.97642,0.87517,0.39555,0.45797,0.82056,0.00135894,0.00135894,0.00135894
30,65.4389,0.52795,0.47349,0.9228,0.97003,0.91746,0.97525,0.85634,0.43831,0.44458,0.84196,0.00134794,0.00134794,0.00134794
31,67.4511,0.53521,0.48255,0.94129,0.99622,0.94909,0.98561,0.87368,0.44256,0.38923,0.85635,0.00133693,0.00133693,0.00133693
32,69.4603,0.51147,0.46329,0.93297,0.97888,0.96211,0.98451,0.87297,0.40508,0.36829,0.83459,0.00132593,0.00132593,0.00132593
33,71.464,0.49714,0.4476,0.90982,0.97174,0.97304,0.9847,0.86808,0.42964,0.38193,0.84838,0.00131493,0.00131493,0.00131493
34,73.4803,0.53759,0.47813,0.92169,0.9775,0.96627,0.98595,0.88413,0.38762,0.35888,0.81844,0.00130393,0.00130393,0.00130393
35,75.633,0.5179,0.43936,0.92405,0.98851,0.95761,0.98321,0.87488,0.39432,0.38658,0.82438,0.00129293,0.00129293,0.00129293
36,77.6393,0.52379,0.43787,0.92683,0.96339,0.97992,0.98394,0.87905,0.42269,0.36228,0.83691,0.00128192,0.00128192,0.00128192
37,79.676,0.52094,0.44625,0.91836,0.98536,0.96568,0.97924,0.88923,0.39304,0.37626,0.8242,0.00127092,0.00127092,0.00127092
38,81.8921,0.52172,0.44847,0.92691,0.98946,0.96243,0.98607,0.8958,0.38636,0.33651,0.81572,0.00125992,0.00125992,0.00125992
39,84.0951,0.4969,0.4252,0.91306,0.98546,0.96693,0.98784,0.8938,0.40953,0.34587,0.83078,0.00124892,0.00124892,0.00124892
40,86.0769,0.50945,0.42498,0.92091,0.98906,0.96804,0.98956,0.89436,0.40236,0.33594,0.82019,0.00123791,0.00123791,0.00123791
41,88.054,0.51123,0.41513,0.90686,0.9919,0.95348,0.98675,0.88236,0.42832,0.34715,0.83034,0.00122691,0.00122691,0.00122691
